City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kerikeri,-35.2268,173.9474,14.39,90,100,0.98,NZ,1718607765
1,ginir,7.1333,40.7,22.08,47,100,1.53,ET,1718607742
2,margaret river,-33.95,115.0667,15.44,67,60,3.76,AU,1718607768
3,bam,29.106,58.357,38.66,10,0,7.82,IR,1718607769
4,marrakesh,31.6315,-8.0083,17.04,72,0,3.09,MA,1718607770
5,waitangi,-43.9535,-176.5597,12.68,98,100,3.13,NZ,1718607771
6,machico,32.7,-16.7667,20.4,81,40,5.66,PT,1718607772
7,port lincoln,-34.7333,135.8667,13.27,67,100,3.38,AU,1718607773
8,howrah,22.5892,88.3103,36.0,67,40,6.17,IN,1718607544
9,leava,-14.3,-178.1667,28.1,85,8,8.07,WF,1718607775
10,agat village,13.3886,144.6585,32.2,78,45,2.68,GU,1718607777
11,pacific grove,36.6177,-121.9166,14.27,80,0,3.09,US,1718607778
12,kitakata,37.65,139.8667,25.67,40,100,1.82,JP,1718607779
13,qaqortoq,60.7167,-46.0333,8.33,68,100,4.27,GL,1718607780
14,nadi,-17.8,177.4167,27.0,78,75,1.03,FJ,1718607781
15,katsuura,35.1333,140.3,25.51,76,100,4.82,JP,1718607782
16,adamstown,-25.066,-130.1015,22.08,80,83,6.79,PN,1718607783
17,blackmans bay,-43.0167,147.3167,8.07,88,97,0.45,AU,1718607784
18,yellowknife,62.456,-114.3525,7.45,68,20,7.72,CA,1718607687
19,buckeye,33.3703,-112.5838,34.39,22,0,2.05,US,1718607501
20,kozhevnikovo,56.2589,83.9714,24.67,72,99,2.72,RU,1718607788
21,hermanus,-34.4187,19.2345,17.37,51,17,2.43,ZA,1718607789
22,puerto ayora,-0.7393,-90.3518,21.97,97,100,0.89,EC,1718607790
23,hawaiian paradise park,19.5933,-154.9731,22.15,92,100,0.0,US,1718607791
24,avarua,-21.2078,-159.775,23.03,83,20,1.03,CK,1718607792
25,enewetak,11.3474,162.3373,28.29,80,68,7.21,MH,1718607793
26,mendoza,-32.8908,-68.8272,7.74,66,0,2.06,AR,1718607631
27,seydi,39.4816,62.9137,38.45,12,6,4.46,TM,1718607796
28,general roca,-39.0333,-67.5833,9.7,53,100,3.2,AR,1718607716
29,uturoa,-16.7333,-151.4333,26.64,77,3,4.07,PF,1718607798
30,port-aux-francais,-49.35,70.2167,3.31,76,61,15.23,TF,1718607799
31,bethel,41.3712,-73.414,15.92,85,0,1.54,US,1718607800
32,udachny,66.4167,112.4,12.47,43,97,4.81,RU,1718607672
33,edinburgh of the seven seas,-37.0676,-12.3116,13.12,72,33,11.07,SH,1718607802
34,kiruna,67.8557,20.2251,12.51,76,20,5.14,SE,1718607804
35,mukalla,14.5425,49.1242,32.76,58,100,4.67,YE,1718607805
36,ushuaia,-54.8,-68.3,-2.19,74,20,5.66,AR,1718607610
37,tual,-5.6667,132.75,26.03,77,98,8.99,ID,1718607807
38,huadian,42.9633,126.7478,26.02,53,0,5.59,CN,1718607808
39,kiunga,-6.1219,141.2906,25.94,87,100,1.12,PG,1718607809
40,amga,60.8953,131.9608,21.65,34,6,4.76,RU,1718607810
41,grytviken,-54.2811,-36.5092,-3.45,91,67,3.46,GS,1718607811
42,aasiaat,68.7098,-52.8699,3.2,90,100,1.76,GL,1718607813
43,saint-pierre,-21.3393,55.4781,25.1,61,0,3.09,RE,1718607814
44,galliano,29.4422,-90.2992,28.0,74,0,3.6,US,1718607815
45,puerto natales,-51.7236,-72.4875,-2.75,93,40,1.54,CL,1718607816
46,meadow lake,34.8014,-106.5436,27.9,14,0,2.37,US,1718607817
47,guerrero negro,27.9769,-114.0611,15.83,90,15,6.55,MX,1718607818
48,tura,25.5198,90.2201,30.47,83,100,3.1,IN,1718607819
49,albany,42.6001,-73.9662,17.23,77,100,0.89,US,1718607820
50,bilibino,68.0546,166.4372,22.14,27,62,1.41,RU,1718607822
51,saipan,15.1355,145.701,31.39,66,40,9.26,MP,1718607823
52,jamestown,42.097,-79.2353,19.8,88,0,3.09,US,1718607631
53,san ignacio de velasco,-16.3667,-60.95,20.17,63,5,1.03,BO,1718607825
54,vilyuchinsk,52.9306,158.4028,9.15,89,99,2.56,RU,1718607826
55,papatowai,-46.5619,169.4708,7.7,88,100,5.24,NZ,1718607827
